STA Awal,STA Akhir,Long,Lat,Segment
73220,73225,107.4749141,-6.440782203,Cikopo - Kalijati
73225,73230,107.4749573,-6.440795445,Cikopo - Kalijati
73230,73235,107.4750004,-6.440808687,Cikopo - Kalijati
73235,73240,107.4750436,-6.440821928,Cikopo - Kalijati
73240,73245,107.4750868,-6.44083517,Cikopo - Kalijati
73245,73250,107.47513,-6.440848412,Cikopo - Kalijati
73250,73255,107.4751732,-6.440861654,Cikopo - Kalijati
73255,73260,107.4752164,-6.440874895,Cikopo - Kalijati
73260,73265,107.4752596,-6.440888137,Cikopo - Kalijati
73265,73270,107.4753028,-6.440901379,Cikopo - Kalijati
73270,73275,107.475346,-6.44091462,Cikopo - Kalijati
73275,73280,107.4753892,-6.440927862,Cikopo - Kalijati
73280,73285,107.4754324,-6.440941104,Cikopo - Kalijati
73285,73290,107.4754756,-6.440954346,Cikopo - Kalijati
73290,73295,107.4755188,-6.440967587,Cikopo - Kalijati
73295,73300,107.4755619,-6.440980829,Cikopo - Kalijati
73300,73305,107.4756051,-6.440994071,Cikopo - Kalijati
73305,73310,107.4756483,-6.441007312,Cikopo - Kalijati
73310,73315,107.4756915,-6.441020554,Cikopo - Kalijati
73315,73320,107.4757347,-6.441033796,Cikopo - Kalijati
73320,73325,107.4757779,-6.441047038,Cikopo - Kalijati
73325,73330,107.4758211,-6.441060279,Cikopo - Kalijati
73330,73335,107.4758643,-6.441073521,Cikopo - Kalijati
73335,73340,107.4759075,-6.441086763,Cikopo - Kalijati
73340,73345,107.4759507,-6.441100004,Cikopo - Kalijati
73345,73350,107.4759939,-6.441113246,Cikopo - Kalijati
73350,73355,107.4760371,-6.441126488,Cikopo - Kalijati
73355,73360,107.4760803,-6.441139729,Cikopo - Kalijati
73360,73365,107.4761234,-6.441152971,Cikopo - Kalijati
73365,73370,107.4761666,-6.441166213,Cikopo - Kalijati
73370,73375,107.4762098,-6.441179454,Cikopo - Kalijati
73375,73380,107.476253,-6.441192696,Cikopo - Kalijati
73380,73385,107.4762962,-6.441205937,Cikopo - Kalijati
73385,73390,107.4763394,-6.441219179,Cikopo - Kalijati
73390,73395,107.4763826,-6.441232421,Cikopo - Kalijati
73395,73400,107.4764258,-6.441245662,Cikopo - Kalijati
73400,73405,107.476469,-6.441258904,Cikopo - Kalijati
73405,73410,107.4765122,-6.441272104,Cikopo - Kalijati
73410,73415,107.4765554,-6.441285305,Cikopo - Kalijati
73415,73420,107.4765986,-6.441298505,Cikopo - Kalijati
73420,73425,107.4766418,-6.441311706,Cikopo - Kalijati
73425,73430,107.476685,-6.441324906,Cikopo - Kalijati
73430,73435,107.4767282,-6.441338107,Cikopo - Kalijati
73435,73440,107.4767714,-6.441351308,Cikopo - Kalijati
73440,73445,107.4768146,-6.441364508,Cikopo - Kalijati
73445,73450,107.4768578,-6.441377709,Cikopo - Kalijati
73450,73455,107.476901,-6.441390909,Cikopo - Kalijati
73455,73460,107.4769442,-6.441404109,Cikopo - Kalijati
73460,73465,107.4769874,-6.44141731,Cikopo - Kalijati
73465,73470,107.4770306,-6.44143051,Cikopo - Kalijati
73470,73475,107.4770739,-6.441443711,Cikopo - Kalijati
73475,73480,107.4771171,-6.441456911,Cikopo - Kalijati
73480,73485,107.4771603,-6.441470112,Cikopo - Kalijati
73485,73490,107.4772035,-6.441483312,Cikopo - Kalijati
73490,73495,107.4772467,-6.441496513,Cikopo - Kalijati
73495,73500,107.4772899,-6.441509713,Cikopo - Kalijati
73500,73505,107.4773331,-6.441522914,Cikopo - Kalijati
73505,73510,107.4773763,-6.441536114,Cikopo - Kalijati
73510,73515,107.4774195,-6.441549315,Cikopo - Kalijati
73515,73520,107.4774627,-6.441562515,Cikopo - Kalijati
73520,73525,107.4775059,-6.441575715,Cikopo - Kalijati
73525,73530,107.4775491,-6.441588916,Cikopo - Kalijati
73530,73535,107.4775923,-6.441602116,Cikopo - Kalijati
73535,73540,107.4776355,-6.441615317,Cikopo - Kalijati
73540,73545,107.4776787,-6.441628517,Cikopo - Kalijati
73545,73550,107.4777219,-6.441641717,Cikopo - Kalijati
73550,73555,107.4777651,-6.441654918,Cikopo - Kalijati
73555,73560,107.4778083,-6.441668118,Cikopo - Kalijati
73560,73565,107.4778515,-6.441681319,Cikopo - Kalijati
73565,73570,107.4778947,-6.441694519,Cikopo - Kalijati
73570,73575,107.4779379,-6.441707719,Cikopo - Kalijati
73575,73580,107.4779812,-6.44172092,Cikopo - Kalijati
73580,73585,107.4780244,-6.44173412,Cikopo - Kalijati
73585,73590,107.4780676,-6.441747321,Cikopo - Kalijati
73590,73595,107.4781108,-6.441760521,Cikopo - Kalijati
73595,73600,107.478154,-6.441773721,Cikopo - Kalijati
73600,73605,107.4781972,-6.441786922,Cikopo - Kalijati
73605,73610,107.4782404,-6.441800149,Cikopo - Kalijati
73610,73615,107.4782836,-6.441813377,Cikopo - Kalijati
73615,73620,107.4783268,-6.441826605,Cikopo - Kalijati
73620,73625,107.47837,-6.441839832,Cikopo - Kalijati
73625,73630,107.4784132,-6.44185306,Cikopo - Kalijati
73630,73635,107.4784564,-6.441866288,Cikopo - Kalijati
73635,73640,107.4784996,-6.441879515,Cikopo - Kalijati
73640,73645,107.4785427,-6.441892743,Cikopo - Kalijati
73645,73650,107.4785859,-6.441905971,Cikopo - Kalijati
73650,73655,107.4786291,-6.441919198,Cikopo - Kalijati
73655,73660,107.4786723,-6.441932426,Cikopo - Kalijati
73660,73665,107.4787155,-6.441945654,Cikopo - Kalijati
73665,73670,107.4787587,-6.441958881,Cikopo - Kalijati
73670,73675,107.4788019,-6.441972109,Cikopo - Kalijati
73675,73680,107.4788451,-6.441985336,Cikopo - Kalijati
73680,73685,107.4788883,-6.441998564,Cikopo - Kalijati
73685,73690,107.4789315,-6.442011792,Cikopo - Kalijati
73690,73695,107.4789747,-6.442025019,Cikopo - Kalijati
73695,73700,107.4790179,-6.442038247,Cikopo - Kalijati
73700,73705,107.4790611,-6.442051475,Cikopo - Kalijati
73705,73710,107.4791043,-6.442064702,Cikopo - Kalijati
73710,73715,107.4791475,-6.44207793,Cikopo - Kalijati
73715,73720,107.4791907,-6.442091157,Cikopo - Kalijati
73720,73725,107.4792339,-6.442104385,Cikopo - Kalijati
73725,73730,107.4792771,-6.442117612,Cikopo - Kalijati
73730,73735,107.4793203,-6.44213084,Cikopo - Kalijati
73735,73740,107.4793635,-6.442144068,Cikopo - Kalijati
73740,73745,107.4794067,-6.442157295,Cikopo - Kalijati
73745,73750,107.4794499,-6.442170523,Cikopo - Kalijati
73750,73755,107.4794931,-6.44218375,Cikopo - Kalijati
73755,73760,107.4795363,-6.442196978,Cikopo - Kalijati
73760,73765,107.4795795,-6.442210205,Cikopo - Kalijati
73765,73770,107.4796227,-6.442223433,Cikopo - Kalijati
73770,73775,107.4796659,-6.442236661,Cikopo - Kalijati
73775,73780,107.4797091,-6.442249888,Cikopo - Kalijati
73780,73785,107.4797523,-6.442263116,Cikopo - Kalijati
73785,73790,107.4797954,-6.442276343,Cikopo - Kalijati
73790,73795,107.4798386,-6.442289571,Cikopo - Kalijati
73795,73800,107.4798818,-6.442302798,Cikopo - Kalijati
73800,73805,107.479925,-6.442316026,Cikopo - Kalijati
73805,73810,107.4799682,-6.442329273,Cikopo - Kalijati
73810,73815,107.4800114,-6.44234252,Cikopo - Kalijati
73815,73820,107.4800546,-6.442355768,Cikopo - Kalijati
73820,73825,107.4800978,-6.442369015,Cikopo - Kalijati
